cbg,precinct
[60855064011],7027
[60855064012],8030
[60855064012],8031
[60855064012],8032
"[60855066061,60855066063]",3822
[60855066062],3820
"[60855066062,60855066063]",3824
"[60855106001,60855106002]",2113
"[60855106001,60855106002]",2119
[60855106002],2122
"[60855106002,60855106003,60855117051]",2115
"[60855106003,60855107003]",2016
[60855117011],2120
[60855117011],2130
[60855117011],2279
[60855117011],2297
[60855117011],2299
[60855117011],2312
"[60855117011,60855117012]",2295
[60855021011],8047
[60855021011],8048
"[60855021011,60855021012]",5567
"[60855021011,60855021012,60855021013]",8059
"[60855106004,60855105002]",2123
[60855117012],2278
[60855117012],2288
[60855117012],2293
[60855117012],2298
[60855117012],2346
"[60855117012,60855103003]",2350
"[60855117012,60855117013]",2014
"[60855117013,60855117012,60855117011]",2291
"[60855064021,60855064022]",7050
"[60855064021,60855064022,60855064024]",3802
"[60855064021,60855064023]",7049
[60855021013],3836
[60855021013],3851
[60855021013],8060
[60855021013],8061
[60855064022],3829
"[60855064023,60855064024]",7075
"[60855095002,60855095001]",3452
"[60855095002,60855095003]",3408
[60855095003],3423
[60855074011],4709
"[60855074011,60855074012]",4696
"[60855074011,60855074012]",4712
[60855074012],4721
"[60855074012,60855074013,60855074015]",4705
[60855117021],2331
[60855117021],2802
[60855117021],2824
"[60855117021,60855117022]",2833
[60855074013],4699
"[60855074013,60855074014]",4724
[60855021021],8050
[60855021021],8128
"[60855021021,60855021022]",8049
"[60855074014,60855074015]",4710
"[60855074014,60855074015]",4718
[60855021022],8051
[60855021022],8052
"[60855119071,60855119113]",8884
[60855021023],8063
[60855119072],8894
[60855119072],8895
"[60855119072,60855119113]",8885
"[60855119072,60855119113]",8896
"[60855021024,60855021023]",8062
[60855063011],7006
"[60855063011,60855063012]",7007
[60855063012],7008
"[60855063013,60855063014]",7009
"[60855063013,60855063014]",7010
"[60855074021,60855066042]",4720
"[60855074021,60855074023]",4677
"[60855074021,60855074023]",4678
[60855074022],4674
[60855074022],4686
"[60855074022,60855066045,60855066041]",7077
"[60855074022,60855074023]",4683
[60855074023],4702
"[60855105001,60855105002]",2301
"[60855105001,60855105002,60855105003]",2308
"[60855105002,60855101003]",2354
[60855105003],2309
"[60855105003,60855117013]",2310
"[60855105003,60855105001]",2340
"[60855105003,60855105002]",2311
[60855020011],6528
[60855020011],8035
"[60855020011,60855020014]",8037
[60855020012],6506
"[60855020012,60855020011]",8034
"[60855020012,60855020011,60855020014]",8036
"[60855020012,60855020013]",8033
[60855063021],7048
[60855020013],5557
[60855020013],5561
[60855063022],7046
[60855063022],7047
[60855020014],5559
"[60855020014,60855020021]",8039
[60855063023],7022
[60855063023],7023
"[60855117041,60855117042]",2287
"[60855117041,60855117043]",2285
[60855117042],2281
[60855117042],2283
"[60855117042,60855117041]",2284
"[60855117042,60855117041,60855117043,60855117071]",2290
"[60855117042,60855117051]",2282
[60855117043],2274
[60855117043],2276
[60855117043],2277
[60855117043],2280
[60855117043],2286
[60855117043],2292
[60855117043],2296
[60855117043],2876
"[60855117043,60855117071]",2275
"[60855117043,60855117071]",2834
"[60855117043,60855117071]",2871
[60855119091],5901
[60855119091],8876
[60855119091],8877
[60855119091],8886
[60855119091],8887
[60855119091],8888
[60855119091],8901
[60855119091],8903
"[60855119091,60855119101]",8889
"[60855073011,60855073012]",4713
"[60855073011,60855073012,60855073015]",4676
[60855119092],6027
"[60855119092,60855119112,60855119122]",6001
"[60855119092,60855119122]",8911
"[60855119092,60855119093]",8909
"[60855119092,60855119093]",8910
"[60855119092,60855119093,60855119051]",8908
[60855073012],4707
"[60855073012,60855073013,60855073014]",4690
[60855119093],8905
[60855119093],8906
[60855119093],8907
"[60855119093,60855119051]",8904
"[60855073013,60855073014]",4693
"[60855073013,60855073015,60855073016]",4711
"[60855020021,60855020014]",5556
[60855020022],8042
"[60855073015,60855073016]",4684
"[60855073015,60855073016]",4685
"[60855073015,60855073016]",4740
[60855020023],5558
[60855020023],5560
"[60855020023,60855020021]",8040
"[60855020023,60855020021]",8041
[60855115001],2003
"[60855115001,60855115002]",2011
[60855115002],2009
"[60855094011,60855094012]",2012
[60855115003],2005
"[60855115003,60855115004]",2007
[60855117051],2103
[60855117051],2108
[60855094012],2006
[60855094012],2125
"[60855094012,60855094011]",3427
"[60855094012,60855094013]",3480
[60855115004],2545
[60855115005],2546
[60855115005],2547
"[60855119101,60855119102]",8890
[60855073021],4681
[60855073021],4692
[60855073021],4716
[60855073021],4736
[60855073021],6670
[60855073021],6671
[60855073021],6674
"[60855073021,60855073022]",4679
"[60855073021,60855073022]",4694
"[60855119102,60855119051]",8891
[60855073022],4672
[60855073022],4673
[60855073022],4731
[60855073022],5759
[60855073022],6677
"[60855073022,60855073021]",6676
[60855119103],8902
